GaiaDR3,n_refs,refs,has_rv,classes
507240864641463296,1,Risbud2025,True,T
507247358635486080,1,Kos2024,True,L
507252993628942720,1,Risbud2025,True,L
507253268509856896,1,Kos2024,False,L
507256360884252672,1,Kos2024,True,L
507259934297040768,1,Risbud2025,True,T
507262751795559168,2,"Kos2024, Risbud2025",True,T
507271681023158784,1,Kos2024,True,T
507276530050421504,2,"Kos2024, Risbud2025",False,T
507279656786735104,2,"Kos2024, Risbud2025",False,T
507289586752005248,2,"Kos2024, Risbud2025",False,L
507291270379138176,1,Kos2024,True,L
507292919646610560,2,"Kos2024, Risbud2025",True,L
507294981230883200,2,"Kos2024, Risbud2025",True,L
507309309241524736,1,Kos2024,True,T
507311851862153088,2,"Kos2024, Risbud2025",True,L
507314875519088000,1,Risbud2025,False,T
507322125423773312,2,"Kos2024, Risbud2025",False,L
507329100451889024,2,"Kos2024, Risbud2025",False,T
507332261547778432,2,"Kos2024, Risbud2025",False,T
507337656026559488,1,Kos2024,True,L
507338343221333632,1,Kos2024,False,L
507343531541908864,2,"Kos2024, Risbud2025",True,T
507345455687039616,1,Risbud2025,False,L
507363391466937216,1,Kos2024,False,L
507368614147085312,1,Risbud2025,False,T
507376718743777280,2,"Kos2024, Risbud2025",False,T
507385720995999360,1,Kos2024,False,L
507393181359764992,1,Kos2024,True,L
507399297394092800,2,"Kos2024, Risbud2025",False,T
507402832147528960,1,Risbud2025,True,T
507415888846748544,1,Kos2024,False,L
507418263969533184,1,Kos2024,True,L
507429533964626560,1,Kos2024,True,T
507429568324366976,2,"Kos2024, Risbud2025",True,L
507432660700780800,2,"Kos2024, Risbud2025",False,T
507433622765922048,1,Risbud2025,False,T
507444755328534272,1,Kos2024,True,L
507507290050421120,2,"Kos2024, Risbud2025",True,L
507508213464685056,2,"Kos2024, Risbud2025",False,T
507517357453797632,1,Kos2024,True,L
507519453394029952,1,Kos2024,True,L
507520621628854144,1,Kos2024,True,L
507531204428152448,2,"Kos2024, Risbud2025",True,L
507535087079651072,1,Kos2024,True,L
507546253994631808,2,"Kos2024, Risbud2025",False,T
507555496764113920,1,Kos2024,False,L
507587210803400960,2,"Kos2024, Risbud2025",True,L
507588413394407168,2,"Kos2024, Risbud2025",True,L
507591265252635776,2,"Kos2024, Risbud2025",False,L
507599236711821184,2,"Kos2024, Risbud2025",True,L
507684242704754432,1,Kos2024,False,L
507763991659134976,1,Risbud2025,True,T
507792063564989568,2,"Kos2024, Risbud2025",True,L
507800653499420160,1,Risbud2025,False,T
507833157812702464,2,"Kos2024, Risbud2025",True,L
507839583083658112,1,Kos2024,False,L
507841472869230592,1,Risbud2025,False,T
507842606740604672,2,"Kos2024, Risbud2025",False,L
507842812899032448,2,"Kos2024, Risbud2025",True,L
507862226152384640,1,Kos2024,True,L
507883941506592384,2,"Kos2024, Risbud2025",False,L
507898784914915712,2,"Kos2024, Risbud2025",True,L
507902598845644672,2,"Kos2024, Risbud2025",True,L
507903801436738048,1,Risbud2025,True,T
507904076314350848,2,"Kos2024, Risbud2025",True,L
507914865271996544,2,"Kos2024, Risbud2025",False,T
507915002711198208,2,"Kos2024, Risbud2025",True,L
507926268401708160,2,"Kos2024, Risbud2025",True,L
507930464590036096,2,"Kos2024, Risbud2025",True,L
507933587023501312,2,"Kos2024, Risbud2025",True,L
507945823392732544,2,"Kos2024, Risbud2025",False,L
507947025983563008,2,"Kos2024, Risbud2025",True,L
507950977353541248,2,"Kos2024, Risbud2025",True,L
507961594513974272,2,"Kos2024, Risbud2025",True,L
507964274573491072,2,"Kos2024, Risbud2025",False,T
507966301798030336,2,"Kos2024, Risbud2025",True,L
507967229510971648,2,"Kos2024, Risbud2025",True,L
507977193835071104,2,"Kos2024, Risbud2025",False,L
507982347795757440,2,"Kos2024, Risbud2025",True,L
507985470229917056,2,"Kos2024, Risbud2025",False,T
508013718238102656,1,Kos2024,False,L
508048971330866432,2,"Kos2024, Risbud2025",True,L
508127758210386432,2,"Kos2024, Risbud2025",False,L
508142086222900736,1,Risbud2025,False,T
508180706572334848,2,"Kos2024, Risbud2025",True,L
508203246552512768,1,Risbud2025,True,T
508218570999439488,1,Risbud2025,True,L
508229703550790144,2,"Kos2024, Risbud2025",False,L
508247742417973376,2,"Kos2024, Risbud2025",True,L
508265918715959552,2,"Kos2024, Risbud2025",False,L
